project_id;id;priority;status;short_desc;type;Reliability;Maintainability;Usability;Portability;Security;Performance;Other
DERBY_PROJECT-45;DERBY-4218;Major;Closed;Table/View MAX_SCAN does not exist in org.apache.derbyTesting.functionTests.tests.store.IndexSplitDeadlockTest;FR;0;0;0;0;0;0;1
DERBY_PROJECT-46;DERBY-4623;Trivial;Closed;XML data type page in ref needs some modifications;Maintainability;0;1;0;0;0;0;0
DERBY_PROJECT-47;DERBY-5416;Critical;Closed;SYSCS_COMPRESS_TABLE causes an OutOfMemoryError when the heap is full at call time and then gets mostly garbage collected later on;Performance;0;0;0;1;0;1;0
DERBY_PROJECT-48;DERBY-120;Major;Closed;Date string returned from SELECT against Network Server is incorrect;FR;0;0;0;0;0;0;1
DERBY_PROJECT-49;DERBY-6783;Major;Closed;WHEN clause in CREATE TRIGGER for UPDATE is not working for the sql script below;FR;0;0;0;0;0;0;1
DERBY_PROJECT-50;DERBY-795;Minor;Closed;After calling ResultSet.relative(0) the cursor loses its position;FR;0;0;1;0;0;0;1
DERBY_PROJECT-51;DERBY-4322;Major;Closed;intermittent test failure in derbynet/runtimeinfo;Reliability;1;0;0;0;0;0;1
DERBY_PROJECT-52;DERBY-6038;Major;Closed;Intermittent failure in LangProcedureTest: cannot drop table because of open ResultSet;Reliability;1;0;0;0;0;0;1
DERBY_PROJECT-53;DERBY-6808;Major;Closed;[DERBx error in DOAP file release section;FR;0;0;0;0;0;0;1
DERBY_PROJECT-54;DERBY-523;Major;Closed;Non logged operation that starts before the log archive mode is enabled  can not be recovered during rollforward recovery.;FR;0;0;0;0;0;0;1
DERBY_PROJECT-55;DERBY-2532;Major;Closed;Client does not return SQLException on XAConnection.getXAResource() on a closed connection  Embedded does;FR;0;0;0;0;0;0;1
DERBY_PROJECT-56;DERBY-4319;Major;Closed;hang in suites.all with ibm 1.5 on AIX after ttestDefaultProperties;Performance;0;0;0;1;0;1;0
DERBY_PROJECT-57;DERBY-1710;Minor;Closed;Unchecked casts from SQLException to EmbedSQLException cause ClassCastException in NetworkServerControlImpl when running Java SE 6;Portability;0;0;0;1;0;0;0
DERBY_PROJECT-58;DERBY-214;Major;Closed;Remove System.exit() calls from the DB2jServerImpl.java;Maintainability;0;1;0;0;0;0;0
DERBY_PROJECT-59;DERBY-2355;Trivial;Closed;Wrong URL in Eclipse-Plugin Lab Example Jays.java;FR;0;0;0;0;0;0;1
DERBY_PROJECT-60;DERBY-2785;Minor;Closed;ij describe built in command cannot describe a table named run;FR;0;0;0;0;0;0;1
DERBY_PROJECT-61;DERBY-2742;Minor;Closed;LoopingAlphabetStream.read() returns invalid values;FR;0;0;0;0;0;0;1
DERBY_PROJECT-62;DERBY-5377;Major;Closed;AssertionFailedError in testCaseCS4595B_NonUniqueIndex in AccessTest;FR;0;0;0;0;0;0;1
DERBY_PROJECT-63;DERBY-388;Major;Closed;Intermittent failures when executing UPDATE trigger statements;Reliability;1;0;0;0;0;0;1
DERBY_PROJECT-64;DERBY-4273;Major;Closed;A lock could not be obtained within the time requested error in testBTreeForwardScan_fetchRows_resumeAfterWait_nonUnique_split;FR;0;0;0;1;0;0;1
DERBY_PROJECT-65;DERBY-4903;Major;Closed;Plan exporter tool produces broken output if query contains less-than operator;FR;0;0;0;0;0;0;1
DERBY_PROJECT-66;DERBY-488;Major;Closed;DatabaseMetaData.getColumns() fails on iSeries JDK 1.4 with verfier error on generated class.;Portability;0;0;0;1;0;0;0
DERBY_PROJECT-67;DERBY-4413;Major;Closed;INSERT from SELECT DISTINCT gives assertFailure (sane)  or  NPE (insane) in presence of generated columns;FR;0;0;0;0;0;0;1
DERBY_PROJECT-68;DERBY-1897;Minor;Closed;junit test jdbcapi/_Suite fails with wctme5.7_foundation (j9 -jcl:foun) with NoClassDefFoundError: javax.sql.PooledConnection;FR;0;0;0;0;0;0;1
DERBY_PROJECT-69;DERBY-5292;Major;Closed;SQLAuthorisation and views;FR;0;0;0;0;0;0;1
DERBY_PROJECT-70;DERBY-2592;Trivial;Closed;Wrong description of IndexName field in public JavaDoc for LockTable;FR;0;0;0;0;0;0;1
DERBY_PROJECT-71;DERBY-3061;Critical;Closed;Wrong results from query with two conjuncts;FR;0;0;0;0;0;1;1
DERBY_PROJECT-72;DERBY-3379;Major;Closed;No Current connection on PooledConnection.getConnection() if pooled connection is reused during connectionClosed processing;FR;0;0;0;0;0;0;1
DERBY_PROJECT-73;DERBY-4912;Major;Closed;Instability in Derby2017LayerBTest;Reliability;1;0;0;0;0;0;1
DERBY_PROJECT-74;DERBY-500;Major;Closed;Update/Select failure when BLOB/CLOB fields updated in several rows by PreparedStatement using setBinaryStream and setCharacterStream;FR;0;0;0;0;0;0;1
DERBY_PROJECT-75;DERBY-4382;Minor;Closed;missing documentation from reference guide for ORDER BY null ordering clause (i.e. NULLS FIRST / NULLS LAST );Usability;0;0;1;0;0;0;0
DERBY_PROJECT-76;DERBY-6774;Major;Closed;background post commit threads cause ASSERTS/errors on interaction with alter table add column;FR;0;0;0;0;0;0;1
DERBY_PROJECT-77;DERBY-4443;Major;Closed;Wrap rollback in exception handlers in try-catch;FR;0;0;0;0;0;0;1
DERBY_PROJECT-78;DERBY-6562;Major;Closed;Failed to delete directory in LuceneSupportPermsTest.test_005_deleteDirectory();Maintainability;0;1;0;0;0;0;0
DERBY_PROJECT-79;DERBY-2075;Major;Closed;XY044 error when prior table does have a unique index;FR;0;0;0;0;0;0;1
DERBY_PROJECT-80;DERBY-2961;Major;Closed;TriggerTest.testTypesINActionStatement fails with ASSERT FAILED col1.getClass() (class org.apache.derby.iapi.types.SQLClob) expected to be the same as col2.getClass() (class org.apache.derby.iapi.types.CollatorSQLClob);FR;0;0;0;0;0;0;1
DERBY_PROJECT-81;DERBY-3980;Major;Closed;Conflicting select then update with REPEATABLE_READ gives lock timeout instead of deadlock;Performance;0;0;0;1;0;0;1
DERBY_PROJECT-82;DERBY-1847;Major;Closed;SELECT statement asserts with XJ001 when attempted to select a newly added column in SQL authorization mode;FR;0;0;0;0;0;0;1
DERBY_PROJECT-83;DERBY-6857;Major;Closed;Deprecate support for building Derby under JDKs 6 and 7;Portability;0;0;0;1;0;0;0
DERBY_PROJECT-84;DERBY-5929;Minor;Closed;Release numbers in a few topics need updating;Usability;0;0;1;0;0;0;0
DERBY_PROJECT-85;DERBY-1323;Minor;Closed;Detectability methods rowUpdated  rowInserted  rowDeleted can be called from illegal states in both clients;FR;0;0;0;0;0;0;1
DERBY_PROJECT-86;DERBY-463;Major;Closed;Successive writes to a java.sql.Blob.setBinaryStream(long) seem to reset the file pointer;FR;0;0;0;0;0;0;1
DERBY_PROJECT-87;DERBY-1673;Minor;Closed;Compling with jikes not longer works due to recent changes that added -target -source command line flags to each compile;FR;0;0;0;0;0;0;1
DERBY_PROJECT-88;DERBY-1046;Minor;Closed;JVMInfo is duplicated in derbyclient.jar;FR;0;0;0;0;0;0;1
DERBY_PROJECT-89;DERBY-3895;Minor;Closed;Needs update of master for derbyall/derbynetmats/DerbyNet/derbynetmats/holdCursorJDBC30?;FR;0;0;0;0;0;0;1
DERBY_PROJECT-90;DERBY-3420;Minor;Closed;The -ca option should be removed from ij and from the ij command usage line;FR;0;0;0;0;0;0;1
DERBY_PROJECT-91;DERBY-3904;Major;Closed;NPE on left join with aggregate;FR;0;0;0;0;0;0;1
DERBY_PROJECT-92;DERBY-3373;Blocker;Closed;SQL distinct and order by needed together;FR;0;0;0;0;0;0;1
DERBY_PROJECT-93;DERBY-6559;Major;Closed;A immediate Fk constraint blows up iff its referenced PK is deferred and we delete a duplicate;FR;0;0;0;0;0;0;1
DERBY_PROJECT-94;DERBY-6536;Major;Closed;Errors in LuceneSupportTest on Windows platforms;Portability;0;0;0;1;0;0;0
DERBY_PROJECT-95;DERBY-1502;Major;Closed;Non-deterministic behavior of lang/grantRevokeDDL.sql;Reliability;1;0;0;0;0;0;1
DERBY_PROJECT-96;DERBY-6367;Major;Closed;Reference Manual incorrectly states that you cant schema-qualify constraint names;Usability;0;0;1;0;0;0;0
DERBY_PROJECT-97;DERBY-4275;Major;Closed;Query executions fail when compressing a table using SYSCS_UTIL.SYSCS_COMPRESS_TABLE;FR;0;0;0;0;0;1;1
DERBY_PROJECT-98;DERBY-858;Minor;Closed;ijConnName test output order is non-deterministic.;Reliability;1;0;0;0;0;0;1
DERBY_PROJECT-99;DERBY-23;Minor;Closed;just booting jdbc driver and shutting down seem to leak memory;Performance;0;0;0;1;0;0;0
DERBY_PROJECT-100;DERBY-2265;Minor;Closed;bad logic in jvm:guessWSHome() in old test harness affects j9 runs;FR;0;0;0;0;0;0;1
DERBY_PROJECT-101;DERBY-3438;Minor;Closed;Allow SQL query text to be null in StatementKey;FR;0;0;0;0;0;0;1
DERBY_PROJECT-102;DERBY-1126;Major;Closed;SanityState.java is not being removed;FR;0;0;0;0;0;0;1
DERBY_PROJECT-103;DERBY-820;Minor;Closed;path name incorrect in simple example doc;Usability;0;0;1;0;0;0;0
DERBY_PROJECT-104;DERBY-5554;Major;Closed;NullPointerException in generated VTI code;FR;0;0;0;0;0;0;1
DERBY_PROJECT-105;DERBY-2871;Minor;Closed;XATransactionTest gets XaException: Error executing a XAResource.commit()  server returned XAER_PROTO.;FR;0;0;0;0;0;0;1
DERBY_PROJECT-106;DERBY-5562;Major;Closed;An read-only XA transaction that has a timeout never has the timer canceled when the transaction is complete;FR;0;0;0;1;0;0;1
DERBY_PROJECT-107;DERBY-1368;Major;Closed;EOFException when reading from blobs binary stream;FR;0;0;0;0;0;0;1
DERBY_PROJECT-108;DERBY-5905;Major;Closed;Derby html documentation doesnt render properly and prints garbage on Internet Explorer;FR;0;0;0;0;0;0;1
DERBY_PROJECT-109;DERBY-2993;Minor;Closed;Duplicated description of java.sql.ResultSet#beforeFirst() is written in reference manual;FR;0;0;0;0;0;0;1
DERBY_PROJECT-110;DERBY-901;Major;Closed;Remove use of String(byte[]) constructors in network server leading to non-portable behaviour;Maintainability;0;1;0;0;0;0;0
DERBY_PROJECT-111;DERBY-1934;Major;Closed;Reference Manual updates - J2EE Compliance: Java Transaction API and javax.sql Extensions;Usability;0;0;1;0;0;0;0
DERBY_PROJECT-112;DERBY-2202;Minor;Closed;DROP PROCEDURE depends on SET SCHEMA;FR;0;0;0;0;0;0;1
DERBY_PROJECT-113;DERBY-1055;Minor;Closed;Security.AccessControlException in client under SecurityManager when trying to connect using EUSRIDPWD security mechanism;Security;0;0;0;1;1;0;0
DERBY_PROJECT-114;DERBY-6715;Major;Closed;MissingPermissionsTest fails under JaCoCo;Security;0;0;0;1;1;0;0
DERBY_PROJECT-115;DERBY-2918;Major;Closed;Errors in regression tests run against 10.3.1.1 release candidate;FR;0;0;0;0;0;0;1
DERBY_PROJECT-116;DERBY-6357;Major;Closed;CREATE TRIGGER doesnt detect all illegal references to SESSION schema;FR;0;0;0;0;0;0;1
DERBY_PROJECT-117;DERBY-3944;Major;Closed;CHECK constraints involving user-coded functions may return different results depending on who performs the triggering INSERT/UPDATE;FR;1;0;0;0;0;0;1
DERBY_PROJECT-118;DERBY-4025;Major;Closed;CHAR data type documentation fails to describe the maximum allowed length;FR;0;0;0;0;0;0;1
DERBY_PROJECT-119;DERBY-4761;Major;Closed;javadoc warnings for 10.3 with jdk 1.6 set;Usability;0;0;1;0;0;0;0
DERBY_PROJECT-120;DERBY-6195;Minor;Closed;Cleanup suspect coding practices in the org.apache.derby.impl.tools.ij package.;FR;0;0;0;0;0;0;1
DERBY_PROJECT-121;DERBY-1348;Major;Closed;upgradeTests/Upgrade_10_1_10_2.java test fails with java.lang.NoClassDefFoundError: org/apache/derby/iapi/services/info/JVMInfo;FR;0;0;0;0;0;0;1
DERBY_PROJECT-122;DERBY-3902;Major;Closed;some messages are referenced but never used - MessageBundleTest output;FR;0;0;0;0;0;0;1
DERBY_PROJECT-123;DERBY-6352;Major;Closed;Access denied (java.lang.RuntimePermission modifyThread) highly intermittent  but e.g. in store.RecoveryAfterBackup test;Reliability;1;0;0;0;1;0;0
DERBY_PROJECT-124;DERBY-2874;Major;Closed;NetworkServer not accepting connections with default security manager on Ipv6 machines;Security;0;0;0;1;1;0;0
DERBY_PROJECT-125;DERBY-5359;Major;Closed;Missing xmlns attribute for html element in docs;FR;0;0;1;0;0;0;0
DERBY_PROJECT-126;DERBY-1963;Minor;Closed;Routine parameter names displayed by dblook are not escaped.;FR;0;0;0;0;0;0;1
DERBY_PROJECT-127;DERBY-788;Minor;Closed;store/encryptionKey.sql fails on Solaris 10;Portability;0;0;0;1;0;0;0
DERBY_PROJECT-128;DERBY-5972;Major;Closed;Grammar doesnt accept OR operator without parentheses;FR;0;0;0;0;0;0;1
DERBY_PROJECT-129;DERBY-4140;Major;Closed;Derby 10.3.3.0 not in Maven repository;FR;0;0;0;0;0;0;1
DERBY_PROJECT-130;DERBY-2776;Major;Closed;Internally generated CAST nodes should not use the collation of the current compilation schema. Instead they should use collation of target type passed to it.;FR;0;0;0;0;0;0;1
DERBY_PROJECT-131;DERBY-5760;Minor;Closed;Missing argument in some XJ022 errors;FR;0;0;0;0;0;0;1
DERBY_PROJECT-132;DERBY-683;Major;Closed;Use correct encoding for ClobOutputStream on client;FR;0;0;0;0;0;0;1
DERBY_PROJECT-133;DERBY-408;Minor;Closed;Fix formatting of manuals in PDF output;Usability;0;0;1;0;0;0;0
DERBY_PROJECT-134;DERBY-679;Major;Closed;the lock compatibility table in developers guide needs to be updated;Usability;0;0;1;0;0;0;0
DERBY_PROJECT-135;DERBY-1550;Major;Closed;procedureInTrigger has diff under jdk1.6;FR;0;0;0;0;0;0;1
DERBY_PROJECT-136;DERBY-4391;Major;Closed;NullPointerException when comparing indexed column with result from a set operation;FR;0;0;0;0;0;0;1
DERBY_PROJECT-137;DERBY-3645;Major;Closed;Insert into selecting BLOB column twice leads to SQLException: Restore of a serializable or SQLData object of class error selecting from the table;FR;0;0;0;0;0;0;1
DERBY_PROJECT-138;DERBY-2568;Major;Closed;Connection refused in jdbcapi/LobStreamsTest.junit;FR;0;0;0;0;0;0;1
DERBY_PROJECT-139;DERBY-392;Minor;Closed;Disable creating indexes on long varchar for bit data. Long varchar column doesnt allow creating indexes already.;FR;0;0;0;0;0;0;1
DERBY_PROJECT-140;DERBY-2549;Major;Closed;ArrayIndexOutOfBoundsException in SYSCS_UTIL.SYSCS_INPLACE_COMPRESS_TABLE;FR;0;0;0;0;0;0;1
DERBY_PROJECT-141;DERBY-1254;Major;Closed;XAConnection uses NetConnection as underlying physical connection for JDBC4/Java 1.6;Usability;0;0;1;0;0;0;0
DERBY_PROJECT-142;DERBY-2686;Major;Closed;The skip method for some InputStreams and Readers return invalid values;FR;0;0;0;0;0;0;1
DERBY_PROJECT-143;DERBY-6485;Major;Closed;Failure in SimpleApp test;FR;0;0;0;0;0;0;1
DERBY_PROJECT-144;DERBY-5444;Major;Closed;SpawnedProcess.complete may fail to destroy the process when a timeout is specified;FR;0;0;0;1;0;0;1
DERBY_PROJECT-145;DERBY-6663;Major;Closed;NPE when a trigger tries to insert into a table with a foreign key;FR;0;0;0;0;0;0;1
DERBY_PROJECT-146;DERBY-3650;Major;Closed;internal multiple references from different rows to a single BLOB/CLOB stream leads to various errors when second reference used.;FR;0;0;0;0;0;0;1
DERBY_PROJECT-147;DERBY-1877;Major;Closed;Wrong results using the RTRIM function in Derby 10.0 and Derby 10.1 ...;FR;1;0;0;0;0;0;1
DERBY_PROJECT-148;DERBY-2222;Major;Closed;show indexes in SCHEMANAME does not work with the client driver;FR;0;0;0;0;0;0;1
DERBY_PROJECT-149;DERBY-3814;Major;Closed;failure in testAssertFailureThreadDump with weme 6.1 / JSR 169;FR;0;0;0;0;0;0;1
DERBY_PROJECT-150;DERBY-5117;Major;Closed;ParameterMetaDataJdbc30Test fails with DUMMYINT is not recognized as a function or procedure;FR;0;0;0;0;0;0;1
DERBY_PROJECT-151;DERBY-189;Major;Closed;ResultSetMetaData.getSchemaName and ResultSetMetaData.isWritable donot return correct values;FR;0;0;0;0;0;0;1
DERBY_PROJECT-152;DERBY-3887;Critical;Closed;Embedded Derby fails under JBoss because of JMX-related conflicts;FR;0;0;0;0;0;0;1
DERBY_PROJECT-153;DERBY-5304;Major;Closed;test_derby_4779 (lang.GeneratedColumnsTest) fails with ibm 1.4.2; ERROR 42X50; No method was found that matched the method call java.lang.Integer.signum(int);Portability;0;0;0;1;0;0;0
DERBY_PROJECT-154;DERBY-325;Major;Closed;Database cannot be started due to recovery failure;FR;0;0;0;0;0;0;1
DERBY_PROJECT-155;DERBY-4970;Major;Closed;ClassCastException from getBlob() on string parameter;FR;0;0;0;0;0;0;1
DERBY_PROJECT-156;DERBY-1200;Minor;Closed;Derby Server and Administration Guide - Managing the Derby Network Server remotely by using the servlet interface;Usability;0;0;1;0;0;0;0
DERBY_PROJECT-157;DERBY-1586;Minor;Closed;The attributesAsPassword property doesnt work correctly with EmbeddedConnectionPoolDataSource;FR;0;0;0;0;0;0;1
DERBY_PROJECT-158;DERBY-1087;Major;Closed;Updatable result sets behave different depending on the type of query used to generate the result set;FR;1;0;0;0;0;0;1
DERBY_PROJECT-159;DERBY-2915;Major;Closed;upgrade test fixture noConnnectionAfterHardUpgrade fails with 10.3.1.1;Portability;0;0;0;1;0;0;0
DERBY_PROJECT-160;DERBY-1154;Minor;Closed;derbynet/testSecMec.java fails with Sun JDK 1.3;Portability;0;0;0;1;0;0;0
DERBY_PROJECT-161;DERBY-3584;Minor;Closed;Replication tests shall not be run on Java ME;FR;0;0;0;0;0;0;1
DERBY_PROJECT-162;DERBY-905;Major;Closed;derbyall nightly failure in LOBTest running under DerbyNetClient - jdk131 specific;FR;0;0;0;0;0;0;1
DERBY_PROJECT-163;DERBY-38;Major;Closed;Make LOCKS as non-reserved keyword in Derby since it is not a reserved keyword in the SQL standards;FR;0;0;0;0;0;0;1
DERBY_PROJECT-164;DERBY-3574;Trivial;Closed;With client  attempting to get the lob length after commit  or connection close if there  was a call to length() before commit does not throw an exception;FR;0;0;0;0;0;0;1
DERBY_PROJECT-165;DERBY-5630;Major;Closed;intermittent test failure in store/lockTableVTI.sql;Reliability;1;0;0;0;0;0;1
DERBY_PROJECT-166;DERBY-570;Major;Closed;wrong java.sql.Type id implied for LONG VARCHAR FOR BIT DATA;FR;0;0;0;0;0;0;1
DERBY_PROJECT-167;DERBY-2707;Minor;Closed;Inadequate clean-up in many jdbc4 tests;FR;0;0;0;0;0;1;1
DERBY_PROJECT-168;DERBY-2179;Major;Closed;suites.All fails after revision 483606 with ibm15;FR;0;0;0;0;0;0;1
DERBY_PROJECT-169;DERBY-4361;Major;Closed;testDefault fixture in engine.ErrorStreamTest has been failing with junit.framework.AssertionFailedError: File C:\jartest\JarResults.XXdateXX\ibm15_suites.All\system\derby.log could not be deleted;FR;0;0;0;0;0;0;1
DERBY_PROJECT-170;DERBY-203;Major;Closed;setNull(x JDBCType.DATE) does not work when batching is turned on;FR;0;0;0;0;0;0;1
DERBY_PROJECT-171;DERBY-502;Minor;Closed;Browser title for manuals in HTML format is a non-sense default value;Usability;0;0;1;0;0;0;0
DERBY_PROJECT-172;DERBY-3135;Major;Closed;TableFunctionTest fails with weme6.1 on trunk;FR;0;0;0;0;0;0;1
DERBY_PROJECT-173;DERBY-1357;Minor;Closed;Short-circuit logic in optimizer appears to be incorrect...;FR;0;0;0;0;0;0;1
DERBY_PROJECT-174;DERBY-5108;Blocker;Closed;Intermittent failure in AutomaticIndexStatisticsTest.testShutdownWhileScanningThenDelete on Windows;Reliability;1;0;0;1;0;0;1
DERBY_PROJECT-175;DERBY-525;Major;Closed;getAsciiStreamshould replace non-ASCII characters with 0x3f  ?  to match embedded;FR;0;0;0;0;0;0;1
DERBY_PROJECT-176;DERBY-3397;Major;Closed;Derby 10.3.1.4 and 10.3.2.1 break scrollable result sets? Hibernate Query.setFirstResult and/or setMaxResults;Portability;0;0;0;1;0;0;0
DERBY_PROJECT-177;DERBY-4624;Minor;Closed;Broken logic for avoiding testing across midnight in TimestampArithTest;FR;0;0;0;0;0;0;1
DERBY_PROJECT-178;DERBY-1219;Minor;Closed;jdbcapi/checkDataSource.java and jdbcapi/checkDataSource30.java hang intermittently with client;Performance;0;0;0;1;0;0;0
DERBY_PROJECT-179;DERBY-5283;Major;Closed;Crash / process termination during SYSCS_DISABLE_LOG_ARCHIVE_MODE can leave service.properties broken;Reliability;1;0;0;0;0;0;1
DERBY_PROJECT-180;DERBY-2645;Major;Closed;upgrade test failures with weme 6.1.;FR;0;0;0;1;0;0;1
DERBY_PROJECT-181;DERBY-562;Major;Closed;Derby incorrectly throws Exception when streaming to BLOB field;FR;0;0;0;0;0;0;1
DERBY_PROJECT-182;DERBY-2473;Major;Closed;Compilation of reference manual translated into pt_BR seems to be failed;FR;0;0;0;0;0;0;1
DERBY_PROJECT-183;DERBY-130;Minor;Closed;IDENTITY_VAL_LOCAL not reset when new Connection returned from PooledConnection;FR;0;0;0;0;0;0;1
DERBY_PROJECT-184;DERBY-6432;Major;Closed;INSERT/UPDATE incorrectly require user to have privilege to execute CHECK constraints on the target table.;FR;1;0;0;0;1;0;1
